"ADMINID","ENRORGID","PERMNUMBER","ETHNO","RACE_AMI","RACE_ASI","RACE_AFA","RACE_NAT","RACE_WHT","ADMINSTAT","ENTRYTYPE","ENRBEGDATE","ENRENDDATE","EXITTYPE","NEWENRORGID","SS504","EST","NSLELG","HOMELESS","MKSERVICE","UNYOUTH","NTRESNO","DUAL_ENR","T1SERVICES","IST1RLA","IST1MATH","IST1SCIENCE","IST1SOCIAL","IST1VOC","IST1OTHER","SST1HEALTH","SST1GUID","SST1OTHER","SY"
"SU021","PS187","1176992","2","N","N","N","N","Y","01","01","01/02/2019","09/23/2020","14","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1177239","2","Y","N","N","N","Y","01","01","08/29/2017","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1179482","2","N","N","N","N","Y","01","01","02/11/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1181586","2","Y","N","N","N","Y","01","01","02/11/2021","03/07/2021","01","PS406","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1181645","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1183273","2","N","N","N","N","Y","01","03","09/08/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1183284","2","N","N","N","N","Y","01","06","08/29/2018","","","","Y","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1183288","2","Y","N","Y","N","Y","01","01","08/29/2017","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1183295","2","Y","N","N","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1184857","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1184903","2","Y","N","Y","N","Y","01","01","08/29/2017","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1185243","2","N","N","N","N","Y","01","06","08/29/2018","09/30/2020","01","PS195","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1185249","2","Y","N","N","N","N","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1185266","2","N","N","N","N","Y","01","03","09/27/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1185268","2","N","N","N","N","Y","01","03","09/08/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1185276","2","Y","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1185971","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1185984","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1186038","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1186113","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","02","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1186119","2","N","N","N","N","Y","01","01","08/28/2019","02/15/2021","03","UNKN","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1186137","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1186203","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1186292","2","Y","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1186378","2","Y","N","N","N","N","01","01","08/29/2017","","","","N","N","02","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1186383","2","Y","N","N","N","Y","01","07","09/08/2020","01/24/2021","19","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1187809","2","N","N","N","N","Y","01","06","09/08/2020","09/20/2020","01","PS157","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1187818","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1187853","2","Y","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1187912","2","Y","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189421","2","Y","N","N","N","Y","01","01","08/31/2016","09/08/2020","14","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189421","2","Y","N","N","N","Y","01","07","11/30/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189553","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189673","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189710","2","Y","N","N","N","Y","01","06","08/28/2019","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189711","2","N","N","N","N","Y","01","01","08/28/2019","","","","Y","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189729","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189745","2","Y","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189794","2","Y","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189805","1","Y","N","N","N","Y","01","06","08/28/2019","","","","N","Y","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189807","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189828","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189880","2","N","N","N","N","Y","05","01","08/28/2019","11/29/2020","01","PS351","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1189881","2","N","N","N","N","Y","01","06","08/28/2019","12/16/2020","01","PS173","N","Y","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190045","2","Y","N","N","N","Y","01","06","09/08/2020","12/06/2020","14","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190085","2","N","N","N","N","Y","01","01","09/08/2020","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
