"ADMINID","ENRORGID","PERMNUMBER","GRADE","GRADEBEGIN","GRADEEND","SY"
"SU021","PS187","1176992","12","08/28/2019","09/23/2020","2021"
"SU021","PS187","1177239","12","09/08/2020","","2021"
"SU021","PS187","1179482","12","09/08/2020","","2021"
"SU021","PS187","1181586","10","02/11/2021","03/07/2021","2021"
"SU021","PS187","1181645","11","09/08/2020","","2021"
"SU021","PS187","1183273","09","09/08/2020","","2021"
"SU021","PS187","1183284","09","09/08/2020","","2021"
"SU021","PS187","1183288","12","09/15/2020","","2021"
"SU021","PS187","1183295","09","09/08/2020","","2021"
"SU021","PS187","1184857","08","09/08/2020","","2021"
"SU021","PS187","1184903","12","09/08/2020","","2021"
"SU021","PS187","1185243","09","09/08/2020","09/30/2020","2021"
"SU021","PS187","1185249","11","09/08/2020","","2021"
"SU021","PS187","1185266","11","09/08/2020","","2021"
"SU021","PS187","1185268","12","09/08/2020","","2021"
"SU021","PS187","1185276","11","09/08/2020","","2021"
"SU021","PS187","1185971","11","09/08/2020","","2021"
"SU021","PS187","1185984","11","09/08/2020","","2021"
"SU021","PS187","1186038","09","09/08/2020","","2021"
"SU021","PS187","1186113","09","09/08/2020","","2021"
"SU021","PS187","1186119","10","09/08/2020","02/15/2021","2021"
"SU021","PS187","1186137","10","09/08/2020","","2021"
"SU021","PS187","1186203","11","09/08/2020","","2021"
"SU021","PS187","1186292","10","09/08/2020","","2021"
"SU021","PS187","1186378","12","09/08/2020","","2021"
"SU021","PS187","1186383","12","09/08/2020","01/25/2021","2021"
"SU021","PS187","1187809","10","09/08/2020","09/20/2020","2021"
"SU021","PS187","1187818","11","09/08/2020","","2021"
"SU021","PS187","1187853","11","09/08/2020","","2021"
"SU021","PS187","1187912","11","09/08/2020","","2021"
"SU021","PS187","1189421","11","09/08/2020","09/09/2020","2021"
"SU021","PS187","1189421","11","11/30/2020","","2021"
"SU021","PS187","1189553","11","09/08/2020","","2021"
"SU021","PS187","1189673","08","09/08/2020","","2021"
"SU021","PS187","1189710","08","09/08/2020","","2021"
"SU021","PS187","1189711","10","09/08/2020","","2021"
"SU021","PS187","1189729","11","09/08/2020","","2021"
"SU021","PS187","1189745","12","09/08/2020","","2021"
"SU021","PS187","1189794","10","09/08/2020","","2021"
"SU021","PS187","1189805","08","09/08/2020","","2021"
"SU021","PS187","1189807","11","09/08/2020","","2021"
"SU021","PS187","1189828","10","09/08/2020","","2021"
"SU021","PS187","1189880","10","09/08/2020","11/29/2020","2021"
"SU021","PS187","1189881","08","09/08/2020","12/16/2020","2021"
